area_name,area_code,age,age_lower,age_higher,week_ending,weekly_admissions,weekly_rate
London,E40000003,0 - 5 years,0,5,2022-08-08,46,6.400000000000034
London,E40000003,0 - 5 years,0,5,2022-08-01,52,7.199999999999989
London,E40000003,0 - 5 years,0,5,2022-07-25,66,9.199999999999989
London,E40000003,0 - 5 years,0,5,2022-07-18,76,10.600000000000023
London,E40000003,0 - 5 years,0,5,2022-07-11,99,13.800000000000011
London,E40000003,0 - 5 years,0,5,2022-07-04,69,9.699999999999989
London,E40000003,0 - 5 years,0,5,2022-06-27,51,7.099999999999966
London,E40000003,0 - 5 years,0,5,2022-06-20,47,6.5
London,E40000003,0 - 5 years,0,5,2022-06-13,33,4.7000000000000455
London,E40000003,0 - 5 years,0,5,2022-06-06,19,2.599999999999966
London,E40000003,0 - 5 years,0,5,2022-05-30,27,3.8000000000000114
London,E40000003,0 - 5 years,0,5,2022-05-23,12,1.6000000000000227
London,E40000003,0 - 5 years,0,5,2022-05-16,19,2.6999999999999886
London,E40000003,0 - 5 years,0,5,2022-05-09,19,2.599999999999966
London,E40000003,0 - 5 years,0,5,2022-05-02,22,3.1000000000000227
London,E40000003,0 - 5 years,0,5,2022-04-25,29,4.100000000000023
London,E40000003,0 - 5 years,0,5,2022-04-18,39,5.399999999999977
London,E40000003,0 - 5 years,0,5,2022-04-11,50,7
London,E40000003,0 - 5 years,0,5,2022-04-04,61,8.5
London,E40000003,0 - 5 years,0,5,2022-03-28,57,7.899999999999977
London,E40000003,0 - 5 years,0,5,2022-03-21,62,8.700000000000045
London,E40000003,0 - 5 years,0,5,2022-03-14,40,5.599999999999966
London,E40000003,0 - 5 years,0,5,2022-03-07,50,6.900000000000034
London,E40000003,0 - 5 years,0,5,2022-02-28,42,5.899999999999977
London,E40000003,0 - 5 years,0,5,2022-02-21,43,6
London,E40000003,0 - 5 years,0,5,2022-02-14,46,6.399999999999977
London,E40000003,0 - 5 years,0,5,2022-02-07,67,9.400000000000034
London,E40000003,0 - 5 years,0,5,2022-01-31,82,11.399999999999977
London,E40000003,0 - 5 years,0,5,2022-01-24,98,13.699999999999989
London,E40000003,0 - 5 years,0,5,2022-01-17,90,12.500000000000028
London,E40000003,0 - 5 years,0,5,2022-01-10,113,15.799999999999983
London,E40000003,0 - 5 years,0,5,2022-01-03,116,16.200000000000017
London,E40000003,0 - 5 years,0,5,2021-12-27,98,13.699999999999989
London,E40000003,0 - 5 years,0,5,2021-12-20,57,7.900000000000006
London,E40000003,0 - 5 years,0,5,2021-12-13,35,4.900000000000006
London,E40000003,0 - 5 years,0,5,2021-12-06,30,4.199999999999989
London,E40000003,0 - 5 years,0,5,2021-11-29,13,1.8000000000000114
London,E40000003,0 - 5 years,0,5,2021-11-22,24,3.299999999999983
London,E40000003,0 - 5 years,0,5,2021-11-15,21,3
London,E40000003,0 - 5 years,0,5,2021-11-08,19,2.6000000000000227
London,E40000003,0 - 5 years,0,5,2021-11-01,13,1.799999999999983
London,E40000003,0 - 5 years,0,5,2021-10-25,19,2.700000000000017
London,E40000003,0 - 5 years,0,5,2021-10-18,21,2.8999999999999773
London,E40000003,0 - 5 years,0,5,2021-10-11,12,1.700000000000017
London,E40000003,0 - 5 years,0,5,2021-10-04,7,1
London,E40000003,0 - 5 years,0,5,2021-09-27,15,2.0999999999999943
London,E40000003,0 - 5 years,0,5,2021-09-20,11,1.5
London,E40000003,0 - 5 years,0,5,2021-09-13,15,2.0999999999999943
London,E40000003,0 - 5 years,0,5,2021-09-06,25,3.5
London,E40000003,0 - 5 years,0,5,2021-08-30,36,5
London,E40000003,0 - 5 years,0,5,2021-08-23,26,3.5999999999999943
London,E40000003,0 - 5 years,0,5,2021-08-16,23,3.200000000000017
London,E40000003,0 - 5 years,0,5,2021-08-09,28,3.9000000000000057
London,E40000003,0 - 5 years,0,5,2021-08-02,21,3
London,E40000003,0 - 5 years,0,5,2021-07-26,29,4
London,E40000003,0 - 5 years,0,5,2021-07-19,23,3.1999999999999886
London,E40000003,0 - 5 years,0,5,2021-07-12,25,3.5
London,E40000003,0 - 5 years,0,5,2021-07-05,11,1.5
London,E40000003,0 - 5 years,0,5,2021-06-28,6,0.9000000000000057
London,E40000003,0 - 5 years,0,5,2021-06-21,13,1.7999999999999972
London,E40000003,0 - 5 years,0,5,2021-06-14,6,0.7999999999999972
London,E40000003,0 - 5 years,0,5,2021-06-07,6,0.9000000000000057
London,E40000003,0 - 5 years,0,5,2021-05-31,5,0.6999999999999886
London,E40000003,0 - 5 years,0,5,2021-05-24,2,0.20000000000000284
London,E40000003,0 - 5 years,0,5,2021-05-17,7,1
London,E40000003,0 - 5 years,0,5,2021-05-10,2,0.29999999999999716
London,E40000003,0 - 5 years,0,5,2021-05-03,6,0.8000000000000114
London,E40000003,0 - 5 years,0,5,2021-04-26,0,0
London,E40000003,0 - 5 years,0,5,2021-04-19,4,0.5999999999999943
London,E40000003,0 - 5 years,0,5,2021-04-12,3,0.4000000000000057
London,E40000003,0 - 5 years,0,5,2021-04-05,4,0.5999999999999943
London,E40000003,0 - 5 years,0,5,2021-03-29,1,0.09999999999999432
London,E40000003,0 - 5 years,0,5,2021-03-22,5,0.7000000000000028
London,E40000003,0 - 5 years,0,5,2021-03-15,9,1.2999999999999972
