date,ObjectId,areaName,areaType,Shape__Area,Shape__Length,areaNameWelsh,cumAdmissions,hospitalCases,date_1609778580604,covidOccupiedMVBeds,cumTestsByPublishDate,newTestsByPublishDate,areaCode_1609778580604,areaName_1609778580604,areaType_1609778580604,cumCasesBySpecimenDate,newCasesBySpecimenDate,u00efu00bbu00bfareaCode,cumCasesBySpecimenDateRate,cumDeaths28DaysByDeathDate,newDeaths28DaysByDeathDate,cumDeaths28DaysByPublishDate,newDeaths28DaysByPublishDate,cumDeaths28DaysByDeathDateRate,cumPillarOneTestsByPublishDate,cumPillarTwoTestsByPublishDate,newPillarOneTestsByPublishDate,newPillarTwoTestsByPublishDate,cumDeaths28DaysByPublishDateRat,cumPillarFourTestsByPublishDate,cumPillarThreeTestsByPublishDat,newPillarFourTestsByPublishDate,newPillarThreeTestsByPublishDat,cumTestsByPublishDate_1609778580604,cumCasesBySpecimenDate_1609778580604,cumCasesBySpecimenDateRate_1609778580604,cumDeaths28DaysByDeathDate_1609778580604,cumDeaths28DaysByPublishDate_1609778580604,cumDeaths28DaysByDeathDateRate_1609778580604,cumPillarOneTestsByPublishDate_1609778580604,cumPillarTwoTestsByPublishDate_1609778580604,cumDeaths28DaysByPublishDateRat_1609778580604
2022/08/10 00:00:00+00,218,England,nation,130651141779.41,5017042.24287513,Lloegr,554628,15659,2022/01/05 00:00:00+00,769,,1900872,E92000001,England,nation,,183786,E92000001,,,196,162550,316,,,,97750,1800801,287.4,,2448047.0,,2321,375613875.0,12650940,22371.2,131477,129815,232.5,39186581.0,333979247.0,229.6
2022/08/10 00:00:00+00,560,England,nation,130651141779.41,5017042.24287513,Lloegr,337508,30333,2021/01/28 00:00:00+00,3585,,688608,E92000001,England,nation,,22522,E92000001,,,1021,162550,1088,,,,73134,612500,287.4,,1982472.0,,2974,58673421.0,3389622,5994.0,94595,90698,167.3,14431349.0,42259600.0,160.4
2022/08/10 00:00:00+00,740,England,nation,130651141779.41,5017042.24287513,Lloegr,112173,879,2020/08/01 00:00:00+00,74,,118567,E92000001,England,nation,,508,E92000001,,,9,162550,11,,,,39775,76164,287.4,,1405668.0,,2628,9793134.0,265206,469.0,36728,36593,64.9,3616051.0,4771415.0,64.7
2022/05/20 00:00:00+00,1224,Northern Ireland,nation,14331860003.6621,829125.182162862,Gogledd Iwerddon,13077,450,2021/10/09 00:00:00+00,26,,12545,N92000002,Northern Ireland,nation,,1007,N92000002,,,5,3445,4,,,,2230,10315,181.7,,,,0,4498919.0,244226,12884.4,2590,2585,136.6,986485.0,3512434.0,136.4
2022/05/20 00:00:00+00,1344,Northern Ireland,nation,14331860003.6621,829125.182162862,Gogledd Iwerddon,9482,29,2021/06/11 00:00:00+00,0,,8414,N92000002,Northern Ireland,nation,,102,N92000002,,,0,3445,1,,,,2022,6392,181.7,,,,0,2566097.0,120493,6356.8,2155,2155,113.7,705739.0,1860358.0,113.7
2022/05/18 00:00:00+00,1859,Scotland,nation,78981340581.9743,9639570.04320458,Yr Alban,69118,1214,2022/06/26 00:00:00+00,15,16839187.0,4526,S92000003,Scotland,nation,1949599.0,2602,S92000003,35667.7,12298.0,0,12256,0,225.0,7091015.0,9748172.0,4059,467,224.2,,,,0,17039742.0,2011083,36792.6,0,0,,7267240.0,9772502.0,
2022/05/18 00:00:00+00,2024,Scotland,nation,78981340581.9743,9639570.04320458,Yr Alban,45752,1537,2022/01/12 00:00:00+00,59,16839187.0,31884,S92000003,Scotland,nation,1949599.0,7683,S92000003,35667.7,12298.0,18,12256,21,225.0,7091015.0,9748172.0,15545,16339,224.2,,,,0,14574973.0,1138047,20820.5,10125,9971,185.2,5865485.0,8709488.0,182.4
2022/05/18 00:00:00+00,2144,Scotland,nation,78981340581.9743,9639570.04320458,Yr Alban,32993,1065,2021/09/14 00:00:00+00,89,16839187.0,58260,S92000003,Scotland,nation,1949599.0,4785,S92000003,35667.7,12298.0,20,12256,21,225.0,7091015.0,9748172.0,19841,38419,224.2,,,,0,9844664.0,525857,9620.5,8414,8263,153.9,4327717.0,5516947.0,151.2
2022/05/18 00:00:00+00,2526,Scotland,nation,78981340581.9743,9639570.04320458,Yr Alban,6133,255,2020/08/28 00:00:00+00,3,16839187.0,21112,S92000003,Scotland,nation,1949599.0,104,S92000003,35667.7,12298.0,1,12256,0,225.0,7091015.0,9748172.0,5448,15664,224.2,,,,0,1101111.0,20434,373.8,2553,2494,46.7,517088.0,584023.0,45.6
2022/05/24 00:00:00+00,3271,Wales,nation,20809306607.2243,1691390.10376937,Cymru,27005,1816,2021/01/24 00:00:00+00,130,8768681.0,12919,W92000004,Wales,nation,874373.0,397,W92000004,27586.3,7466.0,34,7466,44,235.6,2767632.0,6001049.0,4285,8634,235.6,,,,0,2358714.0,189482,5978.1,4693,4530,148.1,872516.0,1486198.0,142.9
